CardHolderName,CardNumber,CardType,City,Country,Email,Expiration,LastName,Name,PhoneNumber,UserName,ZipCode,State,Street,SecurityNumber,NormalizedEmail,NormalizedUserName,Password,Id
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,1850_city,EIRE,demo1850@microsoft.com,mm/YY,1850_lastName,1850,,1850_demoUser,1850_zipCode,1850_state,1850_street,01234567890,demo1850@microsoft.com,1850_demoUser,Pass@word1,cd28dd84-b180-4c41-8989-12e3fcec17e1
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,188_city,France,demo188@microsoft.com,mm/YY,188_lastName,188,,188_demoUser,188_zipCode,188_state,188_street,01234567890,demo188@microsoft.com,188_demoUser,Pass@word1,ec881a93-e791-4ccc-875c-6b9bfc04b3c7
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,232_city,France,demo232@microsoft.com,mm/YY,232_lastName,232,,232_demoUser,232_zipCode,232_state,232_street,01234567890,demo232@microsoft.com,232_demoUser,Pass@word1,d4bc8b01-cb33-4e92-8665-0672fe2f9273
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,267_city,France,demo267@microsoft.com,mm/YY,267_lastName,267,,267_demoUser,267_zipCode,267_state,267_street,01234567890,demo267@microsoft.com,267_demoUser,Pass@word1,705aeae4-a308-42ea-8f3b-f87b278db863
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,268_city,France,demo268@microsoft.com,mm/YY,268_lastName,268,,268_demoUser,268_zipCode,268_state,268_street,01234567890,demo268@microsoft.com,268_demoUser,Pass@word1,9a54453b-fa01-4fdf-a543-906b3568852b
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,307_city,France,demo307@microsoft.com,mm/YY,307_lastName,307,,307_demoUser,307_zipCode,307_state,307_street,01234567890,demo307@microsoft.com,307_demoUser,Pass@word1,f1d3cc3b-1f79-49af-8538-5da22d2c1fb6
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,261_city,Germany,demo261@microsoft.com,mm/YY,261_lastName,261,,261_demoUser,261_zipCode,261_state,261_street,01234567890,demo261@microsoft.com,261_demoUser,Pass@word1,805ccb14-ad79-4ec2-8997-44f97bd0bc3b
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,320_city,Japan,demo320@microsoft.com,mm/YY,320_lastName,320,,320_demoUser,320_zipCode,320_state,320_street,01234567890,demo320@microsoft.com,320_demoUser,Pass@word1,23f0e44e-793b-456a-8c79-5af9384c0470
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,131_city,Spain,demo131@microsoft.com,mm/YY,131_lastName,131,,131_demoUser,131_zipCode,131_state,131_street,01234567890,demo131@microsoft.com,131_demoUser,Pass@word1,ac02c356-cd97-4f56-bc8d-2b8a6991c33b
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,86_city,Switzerland,demo86@microsoft.com,mm/YY,86_lastName,86,,86_demoUser,86_zipCode,86_state,86_street,01234567890,demo86@microsoft.com,86_demoUser,Pass@word1,cc9ef9d6-c574-45c0-b2b7-17b549e7fa47
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,315_city,United Kingdom,demo315@microsoft.com,mm/YY,315_lastName,315,,315_demoUser,315_zipCode,315_state,315_street,01234567890,demo315@microsoft.com,315_demoUser,Pass@word1,c8bacef4-a3ac-4d51-9c10-31fe817cf7af
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,395_city,United Kingdom,demo395@microsoft.com,mm/YY,395_lastName,395,,395_demoUser,395_zipCode,395_state,395_street,01234567890,demo395@microsoft.com,395_demoUser,Pass@word1,66024e2d-50f4-48ab-bace-2979d7053259
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,398_city,United Kingdom,demo398@microsoft.com,mm/YY,398_lastName,398,,398_demoUser,398_zipCode,398_state,398_street,01234567890,demo398@microsoft.com,398_demoUser,Pass@word1,e31e2b6c-c8f3-4ba6-b440-c946aa953963
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,535_city,United Kingdom,demo535@microsoft.com,mm/YY,535_lastName,535,,535_demoUser,535_zipCode,535_state,535_street,01234567890,demo535@microsoft.com,535_demoUser,Pass@word1,a2913b21-fab7-4f7f-9a39-5359193e0270
cardHolderName,XXXX-XXXX-XXXX-XXXX,3,594_city,United Kingdom,demo594@microsoft.com,mm/YY,594_lastName,594,,594_demoUser,594_zipCode,594_state,594_street,01234567890,demo594@microsoft.com,594_demoUser,Pass@word1,889e4ee3-73c9-4043-aa9a-77dbf9c74adc
